samplestamps,C1,C2
84156646,1895.9781494140625,1788.654052734375
84156648,1350.119873046875,1262.2685546875
84156650,-366.7701721191406,-514.0198974609375
84156652,-1520.5806884765625,-1702.356201171875
84156654,-953.8998413085938,-1095.9989013671875
84156656,932.9068603515625,886.572021484375
84156658,2092.250244140625,2085.73291015625
84156660,1653.3338623046875,1619.8507080078125
84156662,1709.2139892578125,1690.833740234375
84156664,1361.5052490234375,1354.2196044921875
84156666,414.6252746582031,389.7361145019531
84156668,-1476.762939453125,-1573.009033203125
84156670,-1616.4404296875,-1713.7996826171875
84156672,-508.9315490722656,-552.3048095703125
84156674,1538.8819580078125,1578.0516357421875
84156676,1628.33251953125,1646.9827880859375
84156678,1477.302978515625,1492.0611572265625
84156680,1378.253173828125,1406.299072265625
84156682,946.9672241210938,983.3788452148438
84156684,-691.7994995117188,-722.2421875
84156686,-1921.992919921875,-2007.7259521484375
84156688,-1445.697265625,-1507.2264404296875
84156690,387.94586181640625,405.2835388183594
84156692,1739.6109619140625,1801.144287109375
84156694,1308.998046875,1329.65869140625
84156696,1393.3892822265625,1427.238037109375
84156698,1089.112060546875,1132.03662109375
84156700,261.2405090332031,285.1659851074219
84156702,-1662.272705078125,-1725.77490234375
84156704,-1960.207275390625,-2025.50390625
84156706,-884.4993286132812,-904.9564208984375
84156708,1177.615478515625,1237.3046875
84156710,1404.8453369140625,1449.5228271484375
84156712,1186.91162109375,1215.887939453125
84156714,1117.369873046875,1152.996337890625
84156716,723.47998046875,769.6943969726562
84156718,-772.34033203125,-791.6302490234375
84156720,-2169.40576171875,-2246.390869140625
84156722,-1725.729248046875,-1783.3787841796875
84156724,2.5337750911712646,24.63576889038086
84156726,1479.5833740234375,1544.7138671875
84156728,1127.3511962890625,1159.879150390625
84156730,1202.8660888671875,1246.9412841796875
84156732,889.8119506835938,938.51025390625
84156734,115.2909164428711,152.51248168945312
84156736,-1771.1959228515625,-1824.6170654296875
84156738,-2140.29638671875,-2207.57421875
84156740,-1168.385986328125,-1196.710205078125
84156742,930.1778564453125,984.9406127929688
84156744,1291.685302734375,1326.4810791015625
84156746,1034.137451171875,1053.92578125
84156748,1021.8922119140625,1055.9776611328125
84156750,610.0707397460938,652.2975463867188
84156752,-868.5988159179688,-879.859619140625
84156754,-2307.77880859375,-2380.0869140625
84156756,-1947.80419921875,-2000.033203125
84156758,-265.99652099609375,-246.05447387695312
84156760,1287.22412109375,1360.8988037109375
84156762,934.0823974609375,968.8158569335938
84156764,1023.7364501953125,1061.593505859375
84156766,754.6370849609375,804.290771484375
84156768,42.928794860839844,72.9270248413086
84156770,-1883.138916015625,-1937.8310546875
84156772,-2372.319580078125,-2446.733642578125
84156774,-1446.997314453125,-1493.6312255859375
84156776,641.3358154296875,678.9395141601562
84156778,1113.9720458984375,1152.1365966796875
84156780,846.3348388671875,860.3536987304688
84156782,848.9517211914062,878.5469970703125
84156784,454.3390808105469,491.0871276855469
84156786,-941.3057250976562,-949.4013061523438
84156788,-2472.77734375,-2552.275634765625
84156790,-2190.909423828125,-2253.9423828125
84156792,-538.5642700195312,-533.8580932617188
84156794,1120.5557861328125,1180.2822265625
84156796,824.4903564453125,848.0711059570312
84156798,844.7564086914062,874.8377075195312
84156800,620.9368896484375,659.1885375976562
84156802,-55.49797821044922,-24.1456298828125
84156804,-1943.18115234375,-1996.112060546875
84156806,-2560.0224609375,-2638.0751953125
84156808,-1768.923828125,-1809.7425537109375
84156810,337.97235107421875,388.9053955078125
84156812,966.460693359375,1019.3916625976562
84156814,618.1414184570312,646.7523193359375
84156816,622.65234375,659.666259765625
84156818,288.91680908203125,335.2059631347656
84156820,-1055.2218017578125,-1058.3162841796875
84156822,-2681.041259765625,-2760.73486328125
84156824,-2497.23046875,-2564.529296875
84156826,-965.2852172851562,-970.680908203125
84156828,770.3714599609375,831.884033203125
84156830,551.3079223632812,573.8709716796875
84156832,527.4821166992188,559.133544921875
84156834,273.959228515625,320.13623046875
84156836,-250.24974060058594,-208.48814392089844
84156838,-2164.329833984375,-2203.08837890625
84156840,-2944.719970703125,-3013.593017578125
84156842,-2185.18994140625,-2225.56005859375
84156844,-84.30409240722656,-45.95686340332031
84156846,646.353515625,696.0446166992188
84156848,251.2798614501953,272.8003234863281
84156850,267.267578125,303.43408203125
84156852,-85.86589813232422,-42.679569244384766
84156854,-1225.836181640625,-1221.836181640625
84156856,-3019.204833984375,-3092.663330078125
84156858,-2924.92333984375,-2990.79736328125
84156860,-1554.9237060546875,-1561.8687744140625
84156862,344.78863525390625,406.76641845703125
84156864,181.24383544921875,210.94715881347656
84156866,111.78516387939453,151.0046844482422
84156868,-103.31156158447266,-56.648563385009766
84156870,-665.2073364257812,-614.8558349609375
84156872,-2440.307861328125,-2460.73583984375
84156874,-3365.845947265625,-3416.130859375
84156876,-2710.051025390625,-2736.663818359375
84156878,-703.4714965820312,-643.861328125
84156880,253.83026123046875,334.62860107421875
84156882,-171.10458374023438,-116.52457427978516
84156884,-90.82960510253906,-12.776871681213379
84156886,-415.8340148925781,-326.9442138671875
84156888,-1468.9954833984375,-1423.221435546875
84156890,-3246.31396484375,-3281.4462890625
84156892,-3183.434814453125,-3210.650146484375
84156894,-1776.3963623046875,-1756.2882080078125
84156896,268.71307373046875,364.2197570800781
84156898,334.4292297363281,403.2274475097656
84156900,401.30841064453125,472.23333740234375
84156902,462.2145690917969,534.4728393554688
84156904,164.3755340576172,238.66082763671875
84156906,-1305.36767578125,-1311.6937255859375
84156908,-2033.3419189453125,-2079.5439453125
84156910,-1063.8572998046875,-1094.87744140625
84156912,1317.197509765625,1368.616455078125
84156914,2846.123046875,2917.8828125
84156916,2813.30859375,2854.6298828125
84156918,3270.91650390625,3329.064697265625
84156920,3270.355712890625,3336.229736328125
84156922,2106.97509765625,2143.46142578125
84156924,-162.36512756347656,-199.7570037841797
84156926,-223.0345001220703,-254.50730895996094
84156928,699.8867797851562,721.4197387695312
84156930,2394.8701171875,2497.6875
84156932,2170.888671875,2252.87060546875
84156934,1932.6846923828125,2012.166259765625
84156936,2018.02294921875,2103.43603515625
84156938,1518.698974609375,1608.839111328125
84156940,-225.44781494140625,-207.9564666748047
84156942,-1510.3126220703125,-1540.4022216796875
84156944,-1210.6875,-1217.4415283203125
84156946,568.541748046875,647.0305786132812
84156948,1733.056396484375,1838.6483154296875
84156950,1370.40673828125,1438.73974609375
84156952,1419.7613525390625,1499.9490966796875
84156954,1154.76171875,1236.8643798828125
84156956,208.67506408691406,265.37762451171875
84156958,-1725.70849609375,-1761.55517578125
84156960,-1902.208740234375,-1942.95263671875
84156962,-813.95654296875,-805.3998413085938
84156964,1265.550048828125,1354.4522705078125
84156966,1392.267822265625,1462.2706298828125
