samplestamps,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
84294614,-17.757192611694336,-14.558821678161621,-14.114373207092285,-16.652301788330078,-14.035451889038086,-16.901525497436523,-18.234872817993164,-16.27431297302246,-8.440378189086914,-13.661616325378418,-14.355289459228516,-16.78106689453125,-11.381218910217285,-12.801794052124023,-0.934589147567749,-4.955399036407471
84294616,1489.8929443359375,1541.5113525390625,1587.32275390625,1583.2105712890625,1585.474365234375,1560.24462890625,1585.6405029296875,1516.132080078125,1586.384033203125,1578.089111328125,1586.068359375,1579.1981201171875,1582.5626220703125,1570.0557861328125,1566.4586181640625,1515.7955322265625
84294618,1151.069091796875,1166.9736328125,1186.400634765625,1182.8824462890625,1178.1845703125,1172.2489013671875,1178.703857421875,1150.873779296875,1180.851318359375,1171.148193359375,1178.3756103515625,1172.11181640625,1177.7900390625,1171.409912109375,1169.2374267578125,1136.4437255859375
84294620,1246.0731201171875,1272.1336669921875,1298.5721435546875,1296.1878662109375,1294.509765625,1281.350830078125,1299.265869140625,1253.716064453125,1298.127685546875,1285.5501708984375,1293.3509521484375,1288.42041015625,1293.8203125,1285.417236328125,1281.2926025390625,1240.2745361328125
84294622,944.308837890625,975.8107299804688,1004.3385620117188,1000.6666870117188,1006.7601928710938,989.0943603515625,1004.733154296875,954.7720947265625,999.8026733398438,995.00927734375,1003.1256713867188,993.3934936523438,997.8712158203125,989.7132568359375,984.9364624023438,953.9164428710938
84294624,181.36428833007812,199.51193237304688,214.17044067382812,209.31057739257812,216.0479278564453,205.09869384765625,211.96481323242188,182.6353302001953,210.8889923095703,202.0332489013672,206.03329467773438,200.52545166015625,206.21604919433594,205.015625,204.89932250976562,189.17745971679688
84294626,-1695.2906494140625,-1759.756591796875,-1807.6947021484375,-1814.3656005859375,-1811.96484375,-1786.9759521484375,-1815.4456787109375,-1742.9920654296875,-1822.5028076171875,-1825.1279296875,-1831.0718994140625,-1833.31494140625,-1819.89013671875,-1807.2711181640625,-1792.267822265625,-1743.7689208984375
84294628,-2111.673095703125,-2187.324951171875,-2250.914306640625,-2254.52392578125,-2254.98486328125,-2219.591064453125,-2254.469970703125,-2154.929931640625,-2257.73876953125,-2261.8095703125,-2270.52001953125,-2270.1875,-2254.26220703125,-2236.874755859375,-2223.35009765625,-2150.439697265625
84294630,-1155.700439453125,-1190.670654296875,-1228.826904296875,-1226.205810546875,-1224.361572265625,-1207.2315673828125,-1225.89013671875,-1171.6839599609375,-1226.3345947265625,-1230.106201171875,-1237.994140625,-1232.9390869140625,-1222.779052734375,-1217.4830322265625,-1207.1444091796875,-1165.5157470703125
84294632,988.4297485351562,1041.8134765625,1071.7286376953125,1073.5355224609375,1083.1888427734375,1059.387939453125,1081.261474609375,1022.6980590820312,1078.9354248046875,1075.155517578125,1073.622802734375,1078.7900390625,1081.6436767578125,1066.61962890625,1063.101318359375,1035.765625
84294634,1372.5625,1417.435302734375,1447.1676025390625,1438.3701171875,1454.897705078125,1430.26611328125,1448.7294921875,1397.6343994140625,1444.4261474609375,1446.7564697265625,1442.42822265625,1451.151123046875,1451.43359375,1435.77392578125,1424.2930908203125,1393.6634521484375
84294636,1126.6783447265625,1156.5062255859375,1168.431640625,1158.8656005859375,1175.0318603515625,1154.774169921875,1172.1201171875,1136.9381103515625,1164.7098388671875,1165.083740234375,1160.468994140625,1168.6351318359375,1172.73486328125,1157.3909912109375,1146.799072265625,1121.5567626953125
84294638,1119.4010009765625,1158.699462890625,1176.6435546875,1163.9913330078125,1183.5262451171875,1162.6953125,1180.7474365234375,1134.9110107421875,1178.4296875,1176.63525390625,1169.9560546875,1178.40478515625,1183.248046875,1164.6766357421875,1154.209228515625,1116.215087890625
84294640,703.8992919921875,749.1541748046875,763.83349609375,751.73779296875,769.4576416015625,751.3265991210938,768.419189453125,720.6969604492188,772.5396728515625,773.4161376953125,767.2893676757812,771.8667602539062,775.704833984375,758.7617797851562,753.5945434570312,717.2618408203125
