samplestamps,C1
82997342,2678.61962890625
82997344,2131.5029296875
82997346,2116.7197265625
82997348,1236.5819091796875
82997350,-1105.58984375
82997352,-3927.65869140625
82997354,-3516.705322265625
82997356,-773.29150390625
82997358,2535.29931640625
82997360,2226.378173828125
82997362,2213.1943359375
82997364,1714.6802978515625
82997366,432.9722900390625
82997368,-2764.410888671875
82997370,-4032.876708984375
82997372,-2569.418212890625
82997374,1149.5030517578125
82997376,2725.926513671875
82997378,2152.674560546875
82997380,2165.88330078125
82997382,1364.8614501953125
82997384,-835.87158203125
82997386,-3807.6240234375
82997388,-3596.4111328125
82997390,-1023.4789428710938
82997392,2436.05859375
82997394,2303.46728515625
82997396,2200.263671875
82997398,1778.24072265625
82997400,590.0746459960938
82997402,-2557.974609375
82997404,-4056.436767578125
82997406,-2800.677001953125
82997408,850.5758056640625
82997410,2717.519287109375
82997412,2076.544921875
82997414,2198.1494140625
82997416,1403.0426025390625
82997418,-624.5381469726562
82997420,-3774.68505859375
82997422,-3675.843017578125
82997424,-1302.052978515625
82997426,2325.0458984375
82997428,2383.218994140625
82997430,2218.3740234375
82997432,1863.1927490234375
82997434,768.4150390625
82997436,-2246.154052734375
82997438,-4139.12890625
82997440,-2934.60986328125
82997442,531.7064208984375
82997444,2767.3349609375
82997446,2108.674072265625
82997448,2225.6181640625
82997450,1443.32958984375
82997452,-369.8979187011719
82997454,-3683.082763671875
82997456,-3745.185302734375
82997458,-1591.76318359375
82997460,2164.084716796875
82997462,2454.800048828125
82997464,2192.986328125
82997466,1912.1485595703125
82997468,901.15576171875
82997470,-2027.5018310546875
82997472,-4044.627685546875
82997474,-3126.728271484375
82997476,262.4533996582031
82997478,2744.809326171875
82997480,2108.200439453125
82997482,2245.905029296875
82997484,1524.115478515625
82997486,-146.89663696289062
82997488,-3492.1318359375
82997490,-3805.601318359375
82997492,-1848.9122314453125
82997494,1927.3013916015625
82997496,2481.915771484375
82997498,2149.5009765625
82997500,1738.763671875
82997502,835.0782470703125
82997504,-1880.385009765625
82997506,-4187.3623046875
82997508,-3337.712646484375
82997510,-75.16173553466797
82997512,2597.547119140625
82997514,2033.9276123046875
82997516,2155.856201171875
82997518,1518.56201171875
82997520,-32.87677001953125
82997522,-3369.592529296875
82997524,-3933.31591796875
82997526,-2106.638671875
82997528,1736.408447265625
82997530,2554.576904296875
82997532,2113.533935546875
82997534,2009.0966796875
82997536,1139.0439453125
82997538,-1491.4256591796875
82997540,-4019.347900390625
82997542,-3329.587890625
82997544,-327.1435852050781
82997546,2604.35107421875
82997548,2143.473876953125
82997550,2193.576171875
82997552,1595.443359375
82997554,205.33546447753906
82997556,-3116.30224609375
82997558,-3967.658935546875
82997560,-2303.529541015625
82997562,1510.059326171875
82997564,2629.156982421875
82997566,2109.986572265625
82997568,2053.043212890625
82997570,1216.141357421875
82997572,-1224.03759765625
82997574,-3909.382080078125
82997576,-3424.4384765625
82997578,-591.35400390625
82997580,2606.905517578125
82997582,2220.969970703125
82997584,2261.60595703125
82997586,1705.15576171875
82997588,421.6783142089844
82997590,-2908.23779296875
82997592,-4004.14111328125
82997594,-2503.69775390625
82997596,1279.53564453125
82997598,2686.154541015625
82997600,2104.848388671875
82997602,2153.14794921875
82997604,1213.8194580078125
82997606,-1003.4330444335938
82997608,-3890.89404296875
82997610,-3554.271484375
82997612,-879.302978515625
82997614,2509.994873046875
82997616,2292.92919921875
82997618,2285.161865234375
82997620,1784.32177734375
82997622,577.9498901367188
82997624,-2680.43896484375
82997626,-4006.1640625
82997628,-2714.5703125
82997630,992.1099853515625
82997632,2713.1123046875
82997634,2058.488525390625
