samplestamps,C1,C2,C3,C4
85098160,1789.30615234375,1841.6680908203125,1887.7786865234375,1892.0196533203125
85098162,1394.2740478515625,1412.355224609375,1438.5736083984375,1439.59130859375
85098164,1394.776611328125,1421.72607421875,1457.7347412109375,1458.453369140625
85098166,1019.26708984375,1048.8291015625,1087.654052734375,1088.2646484375
85098168,-207.2046356201172,-213.7218475341797,-198.31150817871094,-202.20770263671875
85098170,-2411.755126953125,-2503.26171875,-2555.365966796875,-2560.80322265625
85098172,-2413.74462890625,-2503.51513671875,-2566.984130859375,-2566.11181640625
85098174,-954.1864013671875,-995.7320556640625,-1016.90771484375,-1011.8110961914062
85098176,1493.4111328125,1535.966064453125,1583.1981201171875,1585.0174560546875
85098178,1615.3023681640625,1634.28076171875,1677.83251953125,1670.231201171875
85098180,1392.6956787109375,1405.8463134765625,1443.54150390625,1436.1810302734375
85098182,1270.9871826171875,1297.6002197265625,1336.2630615234375,1329.64208984375
85098184,636.0647583007812,665.3111572265625,698.1505126953125,694.1130981445312
85098186,-1341.9578857421875,-1390.9635009765625,-1417.829833984375,-1421.788330078125
85098188,-2652.28076171875,-2751.90380859375,-2828.05419921875,-2823.015869140625
85098190,-1960.0992431640625,-2036.80615234375,-2093.612548828125,-2085.76611328125
85098192,407.593017578125,415.5390930175781,425.7946472167969,433.9775085449219
85098194,1790.9759521484375,1831.8612060546875,1880.1856689453125,1878.212646484375
85098196,1374.93017578125,1383.794189453125,1410.191162109375,1408.40087890625
85098198,1430.56103515625,1457.215576171875,1486.113037109375,1483.2843017578125
85098200,1071.1346435546875,1107.1849365234375,1132.555908203125,1131.1685791015625
85098202,-66.58428192138672,-57.637149810791016,-55.84273910522461,-56.89778518676758
85098204,-2328.427001953125,-2411.20263671875,-2485.6416015625,-2478.37255859375
85098206,-2465.126220703125,-2552.95263671875,-2631.615966796875,-2621.1943359375
85098208,-1046.872802734375,-1084.55126953125,-1120.098876953125,-1108.1112060546875
85098210,1424.0272216796875,1475.728759765625,1506.3416748046875,1513.697998046875
85098212,1598.45068359375,1626.8746337890625,1655.53955078125,1656.1085205078125
85098214,1373.8751220703125,1394.2325439453125,1413.4102783203125,1410.45703125
85098216,1294.0030517578125,1323.9306640625,1350.1490478515625,1350.7471923828125
85098218,723.0189208984375,749.1001586914062,778.6581420898438,774.4254760742188
85098220,-1205.3292236328125,-1245.7408447265625,-1273.3631591796875,-1280.810791015625
85098222,-2659.379638671875,-2753.57373046875,-2831.78857421875,-2830.097900390625
85098224,-2055.58935546875,-2122.896484375,-2183.3955078125,-2181.522216796875
85098226,221.713623046875,234.5652618408203,242.14996337890625,242.4656524658203
85098228,1767.93115234375,1822.091552734375,1871.3299560546875,1861.502197265625
85098230,1401.422607421875,1420.3802490234375,1455.72021484375,1437.7552490234375
85098232,1440.4468994140625,1477.2198486328125,1511.87451171875,1497.4652099609375
85098234,1110.8983154296875,1155.35986328125,1186.662353515625,1178.433837890625
85098236,75.45664978027344,99.12460327148438,110.34797668457031,103.90969848632812
85098238,-2216.363525390625,-2284.43896484375,-2347.455322265625,-2353.01708984375
85098240,-2521.288818359375,-2595.349853515625,-2670.993408203125,-2668.991455078125
85098242,-1191.3602294921875,-1225.49560546875,-1257.0057373046875,-1252.7357177734375
85098244,1311.2701416015625,1363.07958984375,1405.4517822265625,1401.2938232421875
85098246,1706.642822265625,1745.193603515625,1788.8701171875,1776.3673095703125
85098248,1412.0478515625,1446.004638671875,1474.885498046875,1465.0328369140625
85098250,1322.181884765625,1361.7794189453125,1398.3115234375,1389.7672119140625
85098252,805.5078125,850.8125610351562,883.5439453125,877.5542602539062
85098254,-1033.809326171875,-1059.40869140625,-1078.3663330078125,-1087.105712890625
85098256,-2632.255859375,-2722.927490234375,-2797.038330078125,-2796.79736328125
85098258,-2086.82958984375,-2157.060791015625,-2217.044921875,-2211.001220703125
85098260,35.767765045166016,40.88515853881836,45.76994323730469,53.1386604309082
85098262,1771.61962890625,1819.9814453125,1867.4793701171875,1872.231201171875
85098264,1412.5296630859375,1429.33154296875,1449.9755859375,1450.3660888671875
85098266,1480.1400146484375,1507.5047607421875,1529.6566162109375,1529.631591796875
85098268,1169.087890625,1202.5462646484375,1223.7926025390625,1225.557861328125
85098270,181.20645141601562,202.41123962402344,204.41749572753906,205.50576782226562
85098272,-2142.684814453125,-2209.12353515625,-2278.3662109375,-2280.492919921875
85098274,-2531.14990234375,-2611.2919921875,-2696.95849609375,-2687.88671875
85098276,-1331.8310546875,-1375.6986083984375,-1430.78125,-1416.222412109375
85098278,1200.0166015625,1246.808349609375,1254.01513671875,1273.4129638671875
85098280,1737.06884765625,1780.12646484375,1791.5242919921875,1801.8587646484375
85098282,1346.8468017578125,1374.0869140625,1372.0184326171875,1382.1534423828125
85098284,1375.245849609375,1406.0665283203125,1410.9803466796875,1423.852783203125
85098286,868.4617309570312,910.7924194335938,904.4454956054688,915.5401000976562
