samplestamps,C1
84546390,1464.4014892578125
84546392,1017.8672485351562
84546394,-242.5238037109375
84546396,-2519.12890625
84546398,-2582.2822265625
84546400,-1045.2279052734375
84546402,1469.3443603515625
84546404,1582.105712890625
84546406,1353.5426025390625
84546408,1282.27294921875
84546410,675.3798217773438
84546412,-1393.6551513671875
84546414,-2820.32421875
84546416,-2088.0673828125
84546418,312.6429138183594
84546420,1885.20751953125
84546422,1381.360107421875
84546424,1475.2760009765625
84546426,1089.8555908203125
84546428,-36.32020950317383
84546430,-2417.46630859375
84546432,-2601.742431640625
84546434,-1167.6715087890625
84546436,1465.772216796875
84546438,1684.3746337890625
84546440,1429.88818359375
84546442,1291.2283935546875
84546444,758.6620483398438
84546446,-1245.1634521484375
84546448,-2820.174560546875
84546450,-2155.831298828125
84546452,126.38967895507812
84546454,1878.0714111328125
84546456,1419.7156982421875
84546458,1519.4010009765625
84546460,1105.54833984375
84546462,117.27639770507812
84546464,-2291.774658203125
84546466,-2648.388916015625
84546468,-1316.4913330078125
84546470,1269.3797607421875
84546472,1715.72705078125
84546474,1419.8360595703125
84546476,1368.2509765625
84546478,809.408203125
84546480,-1044.2060546875
84546482,-2775.671630859375
84546484,-2272.289306640625
84546486,-58.72957992553711
84546488,1816.1517333984375
84546490,1436.679443359375
84546492,1471.1346435546875
84546494,1163.32666015625
84546496,221.3647003173828
84546498,-2167.01318359375
84546500,-2648.189453125
84546502,-1445.6224365234375
84546504,1156.4066162109375
84546506,1774.066162109375
84546508,1421.8548583984375
84546510,1364.707763671875
84546512,851.8883666992188
84546514,-915.39892578125
84546516,-2745.473876953125
84546518,-2336.373046875
84546520,-275.57086181640625
84546522,1795.5908203125
84546524,1418.124755859375
84546526,1450.05029296875
84546528,1157.141845703125
84546530,323.9701232910156
84546532,-2046.7293701171875
84546534,-2728.70947265625
84546536,-1625.188232421875
84546538,1017.177734375
84546540,1855.6370849609375
84546542,1363.12939453125
84546544,1407.13818359375
84546546,905.3136596679688
84546548,-687.604248046875
84546550,-2682.337158203125
84546552,-2370.699462890625
84546554,-462.26025390625
84546556,1762.543701171875
84546558,1444.9786376953125
84546560,1473.091064453125
84546562,1186.292724609375
84546564,401.0675048828125
84546566,-1947.866455078125
84546568,-2738.553955078125
84546570,-1779.3248291015625
84546572,845.1219482421875
84546574,1797.2896728515625
84546576,1384.94482421875
84546578,1425.08642578125
84546580,927.1913452148438
84546582,-572.1679077148438
84546584,-2688.538818359375
84546586,-2474.754638671875
84546588,-643.9651489257812
84546590,1663.3153076171875
84546592,1530.524658203125
84546594,1425.72607421875
84546596,1197.7611083984375
84546598,489.7371520996094
84546600,-1765.7503662109375
84546602,-2794.089111328125
84546604,-1869.402587890625
84546606,656.920654296875
84546608,1852.16455078125
84546610,1329.7999267578125
84546612,1449.5352783203125
84546614,931.540283203125
84546616,-684.7796630859375
84546618,-2762.944580078125
84546620,-2704.119384765625
84546622,-964.6704711914062
84546624,1486.99365234375
84546626,1501.029052734375
84546628,1339.685791015625
84546630,1175.5054931640625
84546632,491.65203857421875
84546634,-1646.143798828125
84546636,-2853.59130859375
84546638,-1996.14111328125
84546640,475.1907958984375
84546642,1849.136474609375
