samplestamps,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
84794788,702.4537963867188,751.3141479492188,772.7390747070312,770.4046630859375,775.8294677734375,760.2197265625,774.2883911132812,729.3574829101562,777.0381469726562,776.4275512695312,783.031982421875,780.4857788085938,774.2759399414062,775.6051635742188,761.4990844726562,724.8964233398438,782.0226440429688,777.1254272460938,797.2169799804688,790.7039184570312,797.0508422851562,799.4890747070312,796.8265380859375,812.0665893554688,787.87939453125,793.02587890625,794.537841796875,790.3633422851562,790.4464111328125,787.9126586914062,793.5617065429688,781.45361328125
84794790,-1506.49951171875,-1541.091796875,-1586.2095947265625,-1592.8389892578125,-1587.7423095703125,-1563.272705078125,-1588.71435546875,-1534.130126953125,-1586.8865966796875,-1585.40380859375,-1591.7132568359375,-1584.86376953125,-1579.2105712890625,-1563.9664306640625,-1562.5665283203125,-1530.8819580078125,-1590.857666015625,-1611.4517822265625,-1604.6812744140625,-1610.3759765625,-1623.468505859375,-1617.8111572265625,-1621.31689453125,-1611.813232421875,-1614.1434326171875,-1614.616943359375,-1604.8515625,-1604.9844970703125,-1605.5701904296875,-1603.4891357421875,-1577.6861572265625,-1557.9600830078125
84794792,-2769.050537109375,-2850.546630859375,-2935.286865234375,-2934.5849609375,-2933.74169921875,-2886.152587890625,-2932.5869140625,-2816.535888671875,-2935.57763671875,-2934.115478515625,-2949.924560546875,-2939.72314453125,-2929.006591796875,-2902.69677734375,-2893.504638671875,-2814.388427734375,-2959.789794921875,-2984.778564453125,-2985.09423828125,-2981.99560546875,-3012.488037109375,-3006.9013671875,-3007.084228515625,-3008.89111328125,-2990.0498046875,-2999.3623046875,-2982.14111328125,-2981.696533203125,-2977.073486328125,-2976.14306640625,-2944.54150390625,-2897.25537109375
84794794,-1943.9910888671875,-1996.1494140625,-2058.78759765625,-2061.059814453125,-2056.494873046875,-2023.2484130859375,-2049.217529296875,-1970.63720703125,-2053.6787109375,-2051.9755859375,-2068.220947265625,-2058.044189453125,-2045.948486328125,-2034.33056640625,-2021.1507568359375,-1969.283203125,-2082.81298828125,-2096.291748046875,-2093.899169921875,-2091.58544921875,-2117.413330078125,-2112.395751953125,-2111.53173828125,-2117.820556640625,-2096.279296875,-2097.66650390625,-2084.457763671875,-2089.155517578125,-2081.791015625,-2085.4462890625,-2058.197998046875,-2023.9046630859375
84794796,571.017333984375,605.1776123046875,614.6148681640625,614.9845581054688,623.26708984375,615.960693359375,630.7064208984375,598.951171875,628.0148315429688,626.1830444335938,618.9389038085938,629.03662109375,627.9067993164062,623.23388671875,616.1351318359375,599.7902221679688,613.6096801757812,622.8392944335938,634.1083374023438,626.1456298828125,628.4551391601562,633.3565063476562,632.662841796875,630.4655151367188,623.89013671875,635.3170776367188,635.2880249023438,634.2703247070312,633.3150024414062,631.0262451171875,635.1675415039062,626.3574829101562
84794798,1908.1942138671875,1968.510498046875,2010.7664794921875,2001.9189453125,2013.2628173828125,1989.154541015625,2019.72607421875,1942.1634521484375,2011.1568603515625,2009.7861328125,2012.116455078125,2014.886962890625,2013.2171630859375,2001.603271484375,1983.4432373046875,1930.0677490234375,2016.751953125,2023.9461669921875,2044.399169921875,2031.1737060546875,2051.863525390625,2058.085693359375,2051.29443359375,2057.47509765625,2031.7926025390625,2054.372314453125,2043.3150634765625,2047.958984375,2039.1197509765625,2034.8497314453125,2030.7001953125,2002.184814453125
84794800,1432.334716796875,1459.7451171875,1475.5999755859375,1469.39013671875,1474.4036865234375,1460.4471435546875,1476.65087890625,1436.93701171875,1468.551025390625,1464.3682861328125,1469.47314453125,1471.1138916015625,1474.51171875,1468.48876953125,1459.04736328125,1420.6004638671875,1479.8741455078125,1478.287353515625,1491.0684814453125,1478.0257568359375,1495.82861328125,1499.521240234375,1497.1785888671875,1499.3717041015625,1473.93017578125,1497.348876953125,1491.5003662109375,1493.120361328125,1486.8773193359375,1478.2998046875,1485.0081787109375,1460.4803466796875
84794802,1522.6534423828125,1557.548828125,1583.25634765625,1586.04345703125,1584.20751953125,1571.21875,1588.0330810546875,1538.8902587890625,1584.4609375,1579.335205078125,1583.1898193359375,1584.7142333984375,1582.3175048828125,1573.9935302734375,1563.8916015625,1521.36572265625,1596.2491455078125,1597.1090087890625,1609.4248046875,1596.2325439453125,1610.8702392578125,1617.329345703125,1608.905517578125,1616.116455078125,1591.1275634765625,1615.3521728515625,1609.1796875,1609.8236083984375,1602.76220703125,1596.8721923828125,1595.3851318359375,1569.420166015625
84794804,1099.3509521484375,1144.0118408203125,1169.06298828125,1171.5594482421875,1174.8076171875,1155.4512939453125,1172.30712890625,1124.1820068359375,1171.2935791015625,1167.19384765625,1168.377685546875,1173.4617919921875,1165.2042236328125,1158.8116455078125,1153.60693359375,1113.9097900390625,1182.2510986328125,1187.7838134765625,1197.0675048828125,1183.1483154296875,1195.3643798828125,1204.7020263671875,1194.919921875,1209.5577392578125,1179.123291015625,1202.7705078125,1200.4901123046875,1196.4652099609375,1189.154541015625,1183.8876953125,1178.09326171875,1160.281982421875
84794806,-151.98080444335938,-140.60374450683594,-141.4344940185547,-140.45420837402344,-135.0626678466797,-142.52276611328125,-143.18321228027344,-145.47190856933594,-145.2849884033203,-140.03468322753906,-143.55703735351562,-133.89962768554688,-148.6121368408203,-144.18841552734375,-141.7377166748047,-146.46466064453125,-134.7968292236328,-134.74697875976562,-136.29632568359375,-142.6473846435547,-141.72109985351562,-131.59429931640625,-139.94744873046875,-129.8497314453125,-147.18740844726562,-136.35862731933594,-134.8051300048828,-135.07513427734375,-136.20909118652344,-142.3898468017578,-142.31092834472656,-138.98794555664062
