samplestamps,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
84755980,-1884.7215576171875,-1919.9991455078125,-1970.9986572265625,-1968.7763671875,-1977.312255859375,-1945.31201171875,-1983.1566162109375,-1903.733154296875,-1970.6497802734375,-1975.3101806640625,-1979.7962646484375,-1968.722412109375,-1968.510498046875,-1952.8509521484375,-1955.14794921875,-1901.618896484375
84755982,670.1710205078125,724.99609375,749.2206420898438,752.3193359375,747.8706665039062,732.1239013671875,743.0980224609375,704.8131103515625,749.1001586914062,746.9776611328125,746.3628540039062,756.1324462890625,747.73779296875,746.9609985351562,727.6129760742188,711.0603637695312
84755984,1557.0172119140625,1615.0447998046875,1658.683837890625,1650.8125,1657.5872802734375,1632.793701171875,1649.176025390625,1588.46923828125,1651.5145263671875,1654.73779296875,1658.4844970703125,1660.6527099609375,1652.864501953125,1647.8592529296875,1623.9337158203125,1579.1566162109375
84755986,1132.0865478515625,1154.740966796875,1178.4794921875,1171.513671875,1177.91455078125,1167.3724365234375,1168.984130859375,1140.73876953125,1169.9560546875,1177.6820068359375,1171.837646484375,1182.6207275390625,1174.3839111328125,1173.2042236328125,1152.331787109375,1124.9794921875
84755988,1217.7779541015625,1256.6983642578125,1283.00390625,1279.1119384765625,1284.2335205078125,1268.8065185546875,1275.7099609375,1233.0096435546875,1273.271728515625,1284.0050048828125,1273.7286376953125,1280.3123779296875,1273.19287109375,1274.8792724609375,1249.512451171875,1212.2908935546875
84755990,768.5811767578125,818.81640625,846.0648193359375,841.6826782226562,850.463623046875,831.8175659179688,842.193603515625,797.56591796875,829.3668823242188,845.1884155273438,831.2318725585938,839.0740966796875,824.1290283203125,827.2110595703125,804.6812133789062,772.5189208984375
84755992,-723.7001342773438,-724.049072265625,-733.9598388671875,-731.5839233398438,-732.7635498046875,-729.0833740234375,-736.9754638671875,-725.565185546875,-755.4636840820312,-738.6826171875,-751.758544921875,-750.3712158203125,-758.7949829101562,-746.26318359375,-754.5042114257812,-742.7491455078125
84755994,-2803.6552734375,-2883.959228515625,-2962.913330078125,-2956.599609375,-2962.797119140625,-2916.212890625,-2964.63720703125,-2851.9921875,-2983.17529296875,-2968.99853515625,-2989.800537109375,-2986.801513671875,-2986.112060546875,-2957.37646484375,-2951.677490234375,-2870.3515625
84755996,-2593.58447265625,-2660.920654296875,-2729.735595703125,-2718.9814453125,-2734.238037109375,-2686.316650390625,-2724.13623046875,-2621.7841796875,-2741.677490234375,-2732.755126953125,-2752.81787109375,-2747.791748046875,-2746.47509765625,-2725.29931640625,-2714.001220703125,-2636.513427734375
84755998,-770.7369384765625,-772.8428955078125,-784.4442749023438,-774.3756103515625,-788.801513671875,-766.2177124023438,-775.1897583007812,-751.6588745117188,-784.0247192382812,-783.4681396484375,-794.3259887695312,-790.4048461914062,-794.9158325195312,-788.7724609375,-791.1068725585938,-762.1096801757812
84756000,1494.2210693359375,1568.16162109375,1612.4072265625,1620.5567626953125,1608.864013671875,1595.71337890625,1622.54638671875,1550.234130859375,1614.29296875,1616.162109375,1614.6917724609375,1609.9066162109375,1605.806884765625,1589.5201416015625,1574.9530029296875,1531.8372802734375
84756002,1269.7784423828125,1310.20263671875,1339.170654296875,1344.612060546875,1329.421875,1325.3221435546875,1336.072021484375,1295.627197265625,1326.8092041015625,1333.322265625,1331.3658447265625,1327.926513671875,1320.7530517578125,1314.215087890625,1298.6094970703125,1274.119140625
84756004,1253.9942626953125,1300.7486572265625,1329.6087646484375,1336.645263671875,1323.8184814453125,1311.6854248046875,1326.66796875,1276.6529541015625,1314.7259521484375,1318.2982177734375,1317.6793212890625,1310.60546875,1306.4725341796875,1302.626220703125,1283.01220703125,1255.3359375
