samplestamps,C1,C2,C3,C4
84696588,1637.7947998046875,1708.806884765625,1762.3070068359375,1761.6964111328125
84696590,1339.777099609375,1364.923828125,1403.570068359375,1396.824462890625
84696592,1310.028076171875,1339.6650390625,1379.45361328125,1371.295654296875
84696594,1086.129638671875,1119.18505859375,1160.5478515625,1157.0338134765625
84696596,390.7413330078125,425.2588195800781,450.5425720214844,452.5155944824219
84696598,-1865.714111328125,-1921.5650634765625,-1964.6683349609375,-1963.945556640625
84696600,-2751.7958984375,-2839.277587890625,-2908.109130859375,-2905.608642578125
84696602,-1779.3082275390625,-1828.770751953125,-1876.385009765625,-1870.7899169921875
84696604,752.01611328125,798.6417236328125,826.122802734375,823.99609375
84696606,1645.259033203125,1701.0477294921875,1747.68994140625,1734.4520263671875
84696608,1239.763671875,1262.542724609375,1290.5595703125,1273.9696044921875
84696610,1260.3121337890625,1293.4049072265625,1332.49560546875,1321.0645751953125
84696612,852.847900390625,889.4089965820312,932.4998168945312,922.9420776367188
84696614,-607.1090698242188,-615.7738037109375,-611.3541870117188,-624.492431640625
84696616,-2684.393310546875,-2779.0029296875,-2842.26416015625,-2851.27783203125
84696618,-2447.045166015625,-2525.122802734375,-2592.122314453125,-2592.342529296875
84696620,-708.9461059570312,-723.8787231445312,-737.2579345703125,-738.8986206054688
84696622,1556.0244140625,1617.4954833984375,1662.2353515625,1655.888427734375
84696624,1377.2064208984375,1400.10595703125,1436.3388671875,1424.5631103515625
84696626,1279.647705078125,1306.086181640625,1334.327392578125,1327.26611328125
84696628,1127.79150390625,1157.6112060546875,1194.3509521484375,1184.48583984375
84696630,443.6141662597656,473.3631591796875,496.7569580078125,489.99884033203125
84696632,-1777.1357421875,-1833.1031494140625,-1880.081787109375,-1883.417236328125
84696634,-2797.1005859375,-2886.9873046875,-2975.557373046875,-2970.174072265625
84696636,-1958.716064453125,-2019.8714599609375,-2076.4453125,-2070.870849609375
84696638,554.9465942382812,577.1192016601562,595.8026733398438,597.3810424804688
84696640,1660.11279296875,1696.4993896484375,1743.38671875,1741.3597412109375
84696642,1147.78759765625,1155.5592041015625,1179.609375,1178.5667724609375
84696644,1205.167236328125,1221.7572021484375,1258.7171630859375,1256.3992919921875
84696646,809.6366577148438,840.4033203125,870.8335571289062,870.6466064453125
84696648,-519.5235595703125,-530.6015625,-534.0283813476562,-534.850830078125
84696650,-2701.373779296875,-2788.489990234375,-2865.952880859375,-2867.714111328125
84696652,-2624.51318359375,-2703.9326171875,-2778.375732421875,-2775.131591796875
84696654,-989.3352661132812,-1010.0790405273438,-1035.8529052734375,-1038.0003662109375
84696656,1398.3447265625,1454.6817626953125,1499.6417236328125,1489.45263671875
84696658,1259.79296875,1289.292724609375,1319.10400390625,1306.626220703125
84696660,1173.0714111328125,1201.6905517578125,1227.427001953125,1219.0572509765625
84696662,977.0402221679688,1013.7592163085938,1042.669189453125,1036.243408203125
84696664,374.70794677734375,415.58062744140625,440.7439270019531,432.4779968261719
84696666,-1776.9903564453125,-1820.6917724609375,-1863.5084228515625,-1871.1346435546875
84696668,-2968.026611328125,-3053.447998046875,-3132.065673828125,-3139.15185546875
84696670,-2172.84912109375,-2233.6181640625,-2290.760986328125,-2295.07666015625
84696672,274.5241394042969,298.2793273925781,312.3770751953125,308.298095703125
84696674,1521.4945068359375,1570.62060546875,1612.157958984375,1603.717529296875
84696676,1022.8973999023438,1037.9588623046875,1060.1439208984375,1050.831298828125
84696678,1059.5042724609375,1084.642578125,1124.2027587890625,1112.9503173828125
84696680,718.1466064453125,753.1832885742188,783.1317138671875,776.959228515625
84696682,-559.0546264648438,-555.6485595703125,-555.0753173828125,-560.5084228515625
84696684,-2809.723876953125,-2896.536865234375,-2969.443115234375,-2970.40673828125
84696686,-2863.19482421875,-2945.83740234375,-3019.478759765625,-3020.1103515625
84696688,-1278.8170166015625,-1306.7135009765625,-1340.57470703125,-1338.277587890625
84696690,1119.9368896484375,1175.721435546875,1214.886962890625,1209.802734375
84696692,1207.66357421875,1241.2298583984375,1268.2208251953125,1253.545654296875
84696694,994.3488159179688,1023.3584594726562,1043.948486328125,1032.5548095703125
84696696,864.0006713867188,898.9501342773438,920.26708984375,914.1361694335938
84696698,280.09429931640625,315.8662109375,333.6358642578125,330.0179748535156
84696700,-1782.4774169921875,-1822.7811279296875,-1868.6715087890625,-1872.409912109375
84696702,-3121.714599609375,-3213.985595703125,-3301.865966796875,-3302.248046875
84696704,-2458.480224609375,-2520.5869140625,-2584.50439453125,-2582.42333984375
84696706,-87.15770721435547,-67.91763305664062,-62.1107177734375,-55.75966262817383
84696708,1359.1875,1415.2919921875,1452.08984375,1453.5062255859375
84696710,866.7130126953125,889.9365234375,910.6927490234375,905.0477905273438
84696712,928.8569946289062,964.8905639648438,990.743408203125,986.793212890625
84696714,540.2257690429688,577.8917846679688,605.8837280273438,605.8339233398438
84696716,-614.6190185546875,-604.5046997070312,-599.53271484375,-602.4361572265625
84696718,-2984.53759765625,-3067.986083984375,-3133.619140625,-3129.1748046875
84696720,-3221.931640625,-3308.445556640625,-3379.441162109375,-3368.400390625
84696722,-1838.5445556640625,-1872.3475341796875,-1897.5025634765625,-1884.28125
84696724,613.2109375,664.3101196289062,714.4954833984375,722.1757202148438
84696726,770.6331176757812,800.8473510742188,844.3203125,846.9869995117188
84696728,598.8764038085938,618.8724365234375,658.6112060546875,657.1532592773438
84696730,1220.394775390625,1237.109375,1284.3497314453125,1280.3538818359375
84696732,1049.9423828125,1067.93212890625,1109.0167236328125,1101.7103271484375
84696734,-364.3402404785156,-423.16534423828125,-438.52166748046875,-446.9454345703125
84696736,-1567.580078125,-1690.0736083984375,-1748.4210205078125,-1751.8021240234375
84696738,-1202.5462646484375,-1293.259521484375,-1337.1768798828125,-1334.7303466796875
84696740,861.3131713867188,857.387939453125,880.2542114257812,883.20751953125
84696742,2032.23291015625,2073.329833984375,2137.0439453125,2133.060546875
84696744,1298.38525390625,1316.632568359375,1354.8385009765625,1344.882080078125
84696746,1202.3592529296875,1245.1966552734375,1285.4630126953125,1277.5999755859375
84696748,990.3363647460938,1041.0616455078125,1081.265625,1073.09521484375
84696750,162.51466369628906,192.89088439941406,207.88999938964844,200.15576171875
84696752,-2362.255126953125,-2423.132080078125,-2482.713134765625,-2484.752685546875
84696754,-2764.693359375,-2834.0107421875,-2901.02685546875,-2894.061279296875
84696756,-1313.920166015625,-1346.406494140625,-1374.7432861328125,-1363.453369140625
84696758,1371.681884765625,1420.455078125,1466.96435546875,1476.3060302734375
84696760,1772.296630859375,1803.6282958984375,1852.47607421875,1849.95068359375
84696762,1575.9000244140625,1594.1058349609375,1629.9027099609375,1625.0635986328125
84696764,1627.5018310546875,1656.561279296875,1704.781982421875,1691.3612060546875
84696766,1228.1165771484375,1268.000732421875,1313.4051513671875,1302.61376953125
84696768,-446.3680725097656,-469.93218994140625,-476.30816650390625,-493.9615173339844
84696770,-2031.672119140625,-2122.024169921875,-2182.107666015625,-2191.28759765625
84696772,-1357.5550537109375,-1420.3719482421875,-1467.1429443359375,-1474.7401123046875
84696774,1086.088134765625,1095.53369140625,1118.89013671875,1112.248291015625
84696776,3114.395751953125,3170.387939453125,3244.922607421875,3227.06982421875
84696778,2858.0068359375,2873.60400390625,2929.41357421875,2909.92431640625
84696780,2995.179443359375,3024.837158203125,3076.663330078125,3063.387939453125
