samplestamps,C1,C2,C3,C4,C5,C6,C7,C8
85146926,1455.466796875,1445.6141357421875,1501.7974853515625,1499.9573974609375,1442.5155029296875,1444.7418212890625,1464.80859375,1468.9788818359375
85146928,1594.0892333984375,1596.8140869140625,1658.2601318359375,1662.4554443359375,1601.474609375,1601.7861328125,1621.910888671875,1619.9503173828125
85146930,1265.96533203125,1272.050537109375,1334.202880859375,1340.8072509765625,1279.228271484375,1272.7608642578125,1295.951171875,1296.536865234375
85146932,50.12305450439453,27.49768829345703,58.949729919433594,62.85008239746094,0.1370730698108673,10.363554954528809,13.279473304748535,60.283077239990234
85146934,-2344.107421875,-2448.178955078125,-2497.06005859375,-2494.439208984375,-2556.83642578125,-2507.980224609375,-2540.62451171875,-2380.801513671875
85146936,-2378.728759765625,-2484.424560546875,-2542.00341796875,-2526.9462890625,-2595.727783203125,-2544.47509765625,-2571.370361328125,-2402.521240234375
85146938,-691.5294799804688,-747.0773315429688,-751.5758056640625,-742.8405151367188,-807.31884765625,-787.4141845703125,-778.0848999023438,-678.3123168945312
85146940,1976.057861328125,2002.9449462890625,2076.5947265625,2082.09423828125,2015.9046630859375,1994.3800048828125,2044.145751953125,2037.744873046875
85146942,2219.2255859375,2231.088623046875,2295.579345703125,2290.030029296875,2224.072998046875,2215.412353515625,2252.0400390625,2257.36083984375
85146944,1980.298828125,1977.9603271484375,2037.6036376953125,2033.998291015625,1967.3848876953125,1960.62255859375,1995.833740234375,2017.275390625
85146946,1858.6361083984375,1868.875,1930.9276123046875,1929.6732177734375,1861.0079345703125,1850.6776123046875,1894.088134765625,1903.6500244140625
85146948,1276.179443359375,1287.0247802734375,1345.9993896484375,1345.538330078125,1279.6851806640625,1268.34130859375,1309.05615234375,1323.8018798828125
85146950,-910.9959716796875,-972.1596069335938,-972.52099609375,-980.5501708984375,-1044.0897216796875,-1020.2805786132812,-1020.7125854492188,-919.1206665039062
85146952,-2425.001220703125,-2539.810302734375,-2587.810791015625,-2588.43798828125,-2663.446044921875,-2605.572265625,-2631.827880859375,-2454.210205078125
85146954,-1665.649658203125,-1753.347412109375,-1780.76611328125,-1773.1357421875,-1857.1075439453125,-1808.359375,-1813.3770751953125,-1660.748291015625
85146956,856.6984252929688,848.7274169921875,900.2835083007812,905.5338134765625,816.5276489257812,830.0065307617188,868.4409790039062,915.2908935546875
85146958,2446.899658203125,2470.9873046875,2570.813720703125,2566.27783203125,2481.155517578125,2465.076416015625,2531.673095703125,2520.811279296875
85146960,1991.4432373046875,1986.334228515625,2070.42236328125,2058.0234375,1969.7691650390625,1963.21044921875,2018.002197265625,2041.5455322265625
85146962,2023.75927734375,2032.3243408203125,2119.320068359375,2109.708251953125,2027.2774658203125,2005.3665771484375,2070.9541015625,2082.35595703125
85146964,1610.7706298828125,1621.85693359375,1715.5899658203125,1708.5328369140625,1624.253662109375,1601.4205322265625,1671.63525390625,1672.058837890625
85146966,452.1251525878906,437.7117004394531,504.27105712890625,498.2481689453125,410.5172424316406,400.020751953125,461.9362487792969,486.277099609375
85146968,-2065.246826171875,-2169.065185546875,-2180.998779296875,-2185.966552734375,-2277.319580078125,-2245.070068359375,-2228.795654296875,-2087.294677734375
85146970,-2280.1357421875,-2382.230224609375,-2403.871337890625,-2399.99169921875,-2496.4912109375,-2458.526123046875,-2439.59326171875,-2291.8037109375
85146972,-740.3856811523438,-798.176513671875,-779.6217651367188,-773.287353515625,-872.8148803710938,-848.029541015625,-811.3604125976562,-720.9462280273438
85146974,1914.624267578125,1949.7274169921875,2043.0574951171875,2044.8270263671875,1950.4127197265625,1930.4375,2008.0789794921875,1989.8399658203125
85146976,2210.814208984375,2233.260986328125,2327.646240234375,2318.952392578125,2227.549560546875,2207.698974609375,2282.25,2274.37451171875
85146978,1901.0997314453125,1913.714599609375,1996.4111328125,1990.6956787109375,1899.6126708984375,1879.811767578125,1947.517578125,1954.8115234375
85146980,1778.1824951171875,1806.7310791015625,1894.570068359375,1886.981201171875,1799.7237548828125,1774.8802490234375,1844.517578125,1843.250732421875
85146982,1208.6314697265625,1243.439697265625,1327.3990478515625,1323.5028076171875,1232.228759765625,1212.133056640625,1278.385009765625,1272.885498046875
85146984,-863.3526611328125,-898.0072631835938,-874.1607055664062,-885.5377197265625,-970.3402709960938,-961.0816040039062,-932.130126953125,-851.4356079101562
85146986,-2568.770263671875,-2660.13134765625,-2698.644775390625,-2696.50146484375,-2784.481689453125,-2745.0087890625,-2753.079345703125,-2585.87939453125
85146988,-1904.2772216796875,-1973.58642578125,-1992.3321533203125,-1993.5242919921875,-2072.99755859375,-2045.612060546875,-2042.0938720703125,-1906.9896240234375
85146990,475.87200927734375,489.4422607421875,535.5943603515625,542.1946411132812,458.7503356933594,448.287109375,494.98333740234375,528.2588500976562
85146992,2217.74267578125,2278.681884765625,2375.804443359375,2373.91455078125,2291.417236328125,2256.733642578125,2329.32421875,2294.233642578125
85146994,1819.657470703125,1844.517578125,1923.455078125,1915.862060546875,1824.9119873046875,1808.5047607421875,1871.811767578125,1869.5230712890625
85146996,1830.619140625,1868.3475341796875,1950.1343994140625,1941.65673828125,1856.8541259765625,1838.8477783203125,1899.197265625,1886.20849609375
85146998,1466.96435546875,1511.716552734375,1593.7901611328125,1590.5169677734375,1505.4320068359375,1484.4432373046875,1548.718017578125,1530.449951171875
85147000,319.43841552734375,342.0970153808594,406.07275390625,405.7445983886719,318.07598876953125,305.847412109375,360.510498046875,365.47003173828125
85147002,-2180.761962890625,-2243.400146484375,-2262.544677734375,-2263.068115234375,-2348.863525390625,-2318.12158203125,-2307.945068359375,-2193.79638671875
85147004,-2586.768310546875,-2656.002685546875,-2688.260498046875,-2678.04638671875,-2771.78369140625,-2733.3740234375,-2729.2080078125,-2594.28662109375
85147006,-1133.51123046875,-1161.503173828125,-1153.544677734375,-1141.2828369140625,-1230.9619140625,-1213.1922607421875,-1188.6478271484375,-1111.052001953125
85147008,1601.4329833984375,1661.018310546875,1746.18212890625,1756.3546142578125,1671.5687255859375,1646.5009765625,1717.4549560546875,1674.468017578125
85147010,2008.0540771484375,2053.782470703125,2144.88623046875,2140.3046875,2064.847900390625,2030.0106201171875,2102.56396484375,2062.580078125
85147012,1707.905517578125,1741.7459716796875,1811.8983154296875,1808.8411865234375,1736.5745849609375,1704.5909423828125,1772.1845703125,1747.0087890625
85147014,1590.6956787109375,1635.3690185546875,1710.3978271484375,1705.42578125,1638.4635009765625,1602.832763671875,1676.885498046875,1646.8291015625
85147016,1070.8106689453125,1121.9638671875,1192.095458984375,1192.365478515625,1121.7811279296875,1089.996826171875,1157.9808349609375,1127.9493408203125
85147018,-922.5931396484375,-933.932861328125,-919.5567626953125,-915.76025390625,-988.1306762695312,-992.1681518554688,-952.1884765625,-907.5774536132812
85147020,-2748.817626953125,-2821.5205078125,-2869.516845703125,-2862.164794921875,-2933.180908203125,-2906.8505859375,-2895.9013671875,-2764.730712890625
85147022,-2159.62353515625,-2217.18603515625,-2252.123046875,-2230.245361328125,-2310.4580078125,-2284.771240234375,-2271.84912109375,-2156.969482421875
85147024,147.4615478515625,173.6715850830078,200.7040557861328,222.9846649169922,148.69520568847656,135.32435607910156,189.7631378173828,204.72071838378906
85147026,2078.8876953125,2154.826171875,2231.5537109375,2248.035888671875,2177.875244140625,2139.9267578125,2218.050048828125,2157.800048828125
85147028,1614.288818359375,1652.1292724609375,1702.7923583984375,1704.9066162109375,1643.6473388671875,1618.9949951171875,1676.1834716796875,1655.4813232421875
85147030,1639.796875,1687.6187744140625,1747.1126708984375,1748.861328125,1688.482666015625,1661.142822265625,1724.865234375,1691.5855712890625
85147032,1282.638427734375,1339.170654296875,1396.9989013671875,1399.1837158203125,1344.9609375,1314.7052001953125,1379.806640625,1342.194580078125
85147034,275.2718200683594,317.92645263671875,359.1522216796875,361.0920104980469,305.46112060546875,285.6228942871094,342.6286926269531,320.3065490722656
85147036,-2230.59423828125,-2282.449462890625,-2318.8154296875,-2316.72607421875,-2367.862548828125,-2351.447021484375,-2343.218505859375,-2249.46044921875
85147038,-2713.074951171875,-2785.989501953125,-2835.10302734375,-2826.318115234375,-2884.794189453125,-2856.723388671875,-2858.060791015625,-2739.7958984375
85147040,-1442.5113525390625,-1473.2115478515625,-1490.694580078125,-1475.3299560546875,-1534.2962646484375,-1523.0230712890625,-1506.6075439453125,-1442.0419921875
85147042,1345.13134765625,1408.2347412109375,1470.1585693359375,1483.986328125,1425.6097412109375,1394.3779296875,1461.568603515625,1403.1796875
85147044,1877.39013671875,1928.892333984375,1998.48388671875,2001.0716552734375,1945.980712890625,1913.0416259765625,1977.7733154296875,1915.57958984375
85147046,1438.5279541015625,1474.5947265625,1528.02001953125,1526.146728515625,1479.3507080078125,1458.5738525390625,1509.0540771484375,1469.2281494140625
85147048,1469.140869140625,1515.7042236328125,1577.1046142578125,1575.2686767578125,1529.311767578125,1507.429931640625,1555.96630859375,1504.617919921875
85147050,971.4576416015625,1026.52783203125,1083.2801513671875,1081.909423828125,1040.2392578125,1014.5234985351562,1063.5250244140625,1006.3032836914062
85147052,-925.4924926757812,-929.2266845703125,-920.3584594726562,-922.680419921875,-970.377685546875,-965.9996337890625,-941.9578247070312,-924.0552978515625
85147054,-2901.23046875,-2979.79833984375,-3037.3564453125,-3030.648193359375,-3081.278076171875,-3044.22265625,-3052.833251953125,-2941.276611328125
85147056,-2403.0986328125,-2461.815673828125,-2509.002197265625,-2496.316650390625,-2546.414794921875,-2515.494384765625,-2516.865234375,-2422.193359375
85147058,-197.30630493164062,-185.25633239746094,-172.32992553710938,-156.34637451171875,-199.8026885986328,-205.88790893554688,-172.213623046875,-168.4171142578125
85147060,1881.9635009765625,1954.794921875,2022.0521240234375,2032.52783203125,1992.382080078125,1954.0306396484375,2020.12890625,1944.6473388671875
85147062,1477.89697265625,1515.239013671875,1562.354736328125,1564.510498046875,1526.50390625,1501.5732421875,1546.259033203125,1517.2535400390625
85147064,1496.202392578125,1537.9681396484375,1586.60009765625,1588.52734375,1550.7325439453125,1526.786376953125,1571.9913330078125,1534.8031005859375
85147066,1175.655029296875,1225.287841796875,1276.7110595703125,1277.4296875,1245.4168701171875,1213.8858642578125,1261.5250244140625,1213.142333984375
85147068,281.236572265625,323.55059814453125,358.33392333984375,360.00787353515625,332.6846618652344,308.9876403808594,341.5487060546875,314.9274597167969
85147070,-2225.36474609375,-2269.73486328125,-2315.42578125,-2314.0302734375,-2344.202880859375,-2321.9140625,-2334.703369140625,-2255.1220703125
85147072,-2894.850341796875,-2962.813720703125,-3031.49560546875,-3017.4560546875,-3052.791748046875,-3020.139404296875,-3042.120849609375,-2924.001220703125
85147074,-1719.124755859375,-1754.1864013671875,-1791.4952392578125,-1772.4046630859375,-1809.534912109375,-1789.0694580078125,-1798.8182373046875,-1729.650390625
85147076,1066.927001953125,1131.3388671875,1166.7078857421875,1184.801513671875,1152.70556640625,1122.6949462890625,1164.6890869140625,1112.7301025390625
85147078,1763.0338134765625,1823.603515625,1869.5438232421875,1879.50439453125,1852.5882568359375,1821.672119140625,1863.018310546875,1798.8182373046875
85147080,1376.417236328125,1412.305419921875,1447.55810546875,1450.54052734375,1421.9088134765625,1400.741455078125,1431.9151611328125,1395.906494140625
85147082,1386.851318359375,1439.10107421875,1476.468017578125,1478.6654052734375,1450.29541015625,1432.334716796875,1460.4554443359375,1413.829833984375
85147084,896.5160522460938,959.6568603515625,993.3768920898438,1005.1776123046875,973.5510864257812,954.4605712890625,979.5615844726562,929.5922241210938
85147086,-844.5279541015625,-843.4064331054688,-849.6951904296875,-845.9692993164062,-873.8657836914062,-862.9580688476562,-868.37451171875,-850.430419921875
85147088,-2961.717041015625,-3045.481201171875,-3110.607666015625,-3102.72802734375,-3134.25048828125,-3088.522216796875,-3133.66064453125,-3017.70947265625
85147090,-2544.5166015625,-2610.0498046875,-2673.0703125,-2660.974609375,-2692.505615234375,-2647.794921875,-2689.934326171875,-2588.562744140625
85147092,-455.4439697265625,-455.3899841308594,-458.0649719238281,-445.2839660644531,-476.6653747558594,-468.73175048828125,-470.10662841796875,-451.3857727050781
85147094,1780.9073486328125,1842.2288818359375,1903.40087890625,1909.9013671875,1883.089111328125,1858.0089111328125,1890.5367431640625,1817.551513671875
85147096,1453.88427734375,1479.986328125,1522.2255859375,1520.18603515625,1493.5067138671875,1482.3912353515625,1501.2283935546875,1462.5863037109375
85147098,1416.4093017578125,1446.021240234375,1491.5419921875,1492.3394775390625,1465.2821044921875,1449.1697998046875,1474.8148193359375,1430.1207275390625
85147100,1164.165771484375,1198.865966796875,1248.5279541015625,1250.364013671875,1222.11865234375,1205.167236328125,1233.404296875,1184.589599609375
85147102,343.496826171875,381.3663635253906,413.05517578125,409.7488098144531,389.9645690917969,374.180419921875,396.72271728515625,351.9911804199219
85147104,-2105.234619140625,-2163.320556640625,-2205.376953125,-2205.576416015625,-2223.715576171875,-2199.87744140625,-2220.754150390625,-2152.73681640625
85147106,-2987.25,-3073.75146484375,-3143.912109375,-3139.023193359375,-3160.48974609375,-3120.526611328125,-3157.706787109375,-3042.195556640625
85147108,-1866.98095703125,-1921.328369140625,-1960.4149169921875,-1953.55712890625,-1982.2344970703125,-1952.40234375,-1974.0889892578125,-1898.3873291015625
85147110,855.1739501953125,896.4288330078125,937.3679809570312,941.0565185546875,921.1102905273438,900.6947021484375,925.442626953125,885.8492431640625
85147112,1754.4273681640625,1795.4827880859375,1854.3619384765625,1852.5633544921875,1837.4271240234375,1804.1474609375,1836.251708984375,1777.3226318359375
85147114,1308.10498046875,1329.8995361328125,1365.2353515625,1362.8427734375,1347.7481689453125,1328.8944091796875,1346.103271484375,1316.41650390625
85147116,1344.653564453125,1380.6248779296875,1425.2069091796875,1423.4041748046875,1408.2056884765625,1387.071533203125,1411.781982421875,1366.8553466796875
85147118,878.2770385742188,921.7416381835938,965.3890380859375,964.5790405273438,950.8717651367188,924.4581909179688,950.6141967773438,903.610595703125
85147120,-720.0739135742188,-724.1238403320312,-720.8423461914062,-721.4986572265625,-739.1976928710938,-736.3648681640625,-739.6712036132812,-728.1279907226562
85147122,-2936.524658203125,-3026.49462890625,-3088.858642578125,-3090.939697265625,-3107.75390625,-3065.929931640625,-3104.273193359375,-2989.455810546875
85147124,-2696.53466796875,-2774.40478515625,-2826.59619140625,-2822.305419921875,-2850.37646484375,-2809.35009765625,-2840.424072265625,-2731.05224609375
85147126,-748.1947021484375,-757.5862426757812,-765.5697021484375,-758.98193359375,-781.785888671875,-771.1024780273438,-771.738037109375,-741.964111328125
85147128,1670.0360107421875,1735.195556640625,1797.2689208984375,1792.0892333984375,1773.80029296875,1748.9486083984375,1787.2999267578125,1713.7623291015625
85147130,1420.0189208984375,1454.4200439453125,1492.883544921875,1479.687255859375,1465.17822265625,1448.3306884765625,1474.042236328125,1429.97119140625
85147132,1367.698486328125,1405.58056640625,1443.65771484375,1436.33056640625,1424.6004638671875,1407.6739501953125,1430.6607666015625,1378.94677734375
85147134,1140.431396484375,1182.986328125,1227.5640869140625,1220.32421875,1211.921142578125,1192.971923828125,1216.2410888671875,1162.7535400390625
85147136,378.2510681152344,415.11956787109375,448.51141357421875,443.06585693359375,437.4043273925781,425.9566650390625,439.09906005859375,394.9656677246094
85147138,-2028.03759765625,-2076.83984375,-2120.5869140625,-2122.00341796875,-2127.639892578125,-2099.38623046875,-2128.37939453125,-2067.863525390625
85147140,-3073.3154296875,-3157.947509765625,-3234.2890625,-3231.078125,-3236.702392578125,-3192.340576171875,-3235.83837890625,-3125.959716796875
85147142,-2104.445556640625,-2151.669189453125,-2204.2802734375,-2200.961669921875,-2206.623046875,-2177.256103515625,-2206.996826171875,-2137.26416015625
85147144,588.1099243164062,632.089599609375,660.7628173828125,665.1159057617188,659.9403686523438,647.8447265625,667.0723266601562,618.411376953125
85147146,1705.359375,1759.9849853515625,1809.84228515625,1807.765380859375,1809.1402587890625,1784.114013671875,1811.2877197265625,1731.9722900390625
85147148,1186.63330078125,1208.6771240234375,1240.120849609375,1234.343017578125,1235.6888427734375,1223.97119140625,1236.843505859375,1192.9012451171875
85147150,1322.177734375,1353.94970703125,1392.63330078125,1387.113037109375,1390.6229248046875,1376.761962890625,1395.889892578125,1329.4884033203125
85147152,863.6434326171875,902.651123046875,939.2662353515625,932.466552734375,943.9225463867188,929.2764892578125,942.6431884765625,877.9197998046875
85147154,-638.3035888671875,-636.7584228515625,-640.571533203125,-644.23095703125,-631.9317626953125,-627.16748046875,-634.2744750976562,-650.4573974609375
85147156,-3008.85791015625,-3092.41015625,-3173.918701171875,-3170.6455078125,-3163.388916015625,-3115.59619140625,-3166.197021484375,-3066.98095703125
85147158,-2835.572509765625,-2910.788330078125,-2989.850341796875,-2984.7578125,-2981.418212890625,-2930.547607421875,-2979.2001953125,-2884.711181640625
85147160,-1034.9473876953125,-1055.6287841796875,-1076.2686767578125,-1066.2664794921875,-1069.959228515625,-1039.5123291015625,-1057.9964599609375,-1036.899658203125
85147162,1494.37060546875,1550.6744384765625,1594.595947265625,1601.291748046875,1605.0135498046875,1592.1162109375,1617.345947265625,1535.334716796875
85147164,1349.8956298828125,1370.950927734375,1399.91064453125,1401.7840576171875,1406.3905029296875,1401.8172607421875,1414.6356201171875,1361.330810546875
85147166,1262.1107177734375,1290.82958984375,1310.543212890625,1317.7747802734375,1324.9442138671875,1316.5535888671875,1325.180908203125,1276.3455810546875
85147168,1055.6578369140625,1094.25439453125,1117.361572265625,1124.132080078125,1130.6451416015625,1114.2545166015625,1129.0335693359375,1075.163818359375
85147170,353.9808349609375,394.8825988769531,411.5805969238281,415.56817626953125,417.4207458496094,413.059326171875,424.4280700683594,376.5646667480469
85147172,-2036.0045166015625,-2078.48876953125,-2135.51123046875,-2130.66796875,-2126.72607421875,-2093.296875,-2129.106201171875,-2067.88427734375
85147174,-3229.657470703125,-3312.968994140625,-3412.18896484375,-3400.3466796875,-3398.406982421875,-3341.189453125,-3398.69775390625,-3289.7744140625
85147176,-2330.109375,-2385.8896484375,-2464.577880859375,-2446.824951171875,-2444.448974609375,-2399.41015625,-2443.464599609375,-2370.1845703125
